,state,city,auth_lang,count
149,,Concord,False,12185
150,NC,Concord,,11184
151,,Phoenix,True,10920
152,AZ,Phoenix,True,10920
153,NC,Concord,False,10866
154,,Matthews,,9960
155,NC,Matthews,,9960
156,,Huntersville,,9764
157,NC,Huntersville,,9764
158,,Brampton,,9557
159,ON,Brampton,,9557
160,,Matthews,False,9520
161,NC,Matthews,False,9520
162,NC,Huntersville,False,9478
163,,Huntersville,False,9478
164,ON,Brampton,False,9175
165,,Brampton,False,9175
166,,Etobicoke,,8988
167,ON,Etobicoke,,8988
168,AZ,Cave Creek,,8839
169,,Cave Creek,,8839
170,ON,Etobicoke,False,8695
171,,Etobicoke,False,8695
172,,Cave Creek,False,8665
173,AZ,Cave Creek,False,8665
174,SC,Fort Mill,,7345
175,,Fort Mill,,7345
176,NC,,True,7155
177,SC,Fort Mill,False,7113
178,,Fort Mill,False,7113
179,,Akron,,6946
180,OH,Akron,,6946
181,ON,Thornhill,,6699
182,,Thornhill,,6699
183,,Akron,False,6694
184,OH,Akron,False,6694
185,ON,Thornhill,False,6437
186,,Thornhill,False,6437
187,,Westlake,,6126
188,OH,Westlake,,6126
189,,Cleveland Heights,,6088
190,OH,Cleveland Heights,,6088
191,WI,Middleton,,6043
192,,Middleton,,6043
193,PA,,True,6012
194,,Westlake,False,5988
195,OH,Westlake,False,5988
196,,Urbana,,5945
197,IL,Urbana,,5945
198,OH,,True,5939
199,OH,Cleveland Heights,False,5901
200,,Cleveland Heights,False,5901
201,NV,Boulder City,,5882
202,,Boulder City,,5882
203,,Middleton,False,5847
204,WI,Middleton,False,5847
205,NV,Boulder City,False,5827
206,,Boulder City,False,5827
207,IL,Urbana,False,5773
208,,Urbana,False,5773
209,,Cornelius,,5619
210,NC,Cornelius,,5619
211,NC,Cornelius,False,5505
212,,Cornelius,False,5505
213,NC,Charlotte,True,5303
214,,Charlotte,True,5303
215,,Gastonia,,5201
216,NC,Gastonia,,5201
217,PA,Pittsburgh,True,5127
218,,Pittsburgh,True,5127
219,,Gastonia,False,5123
220,NC,Gastonia,False,5123
221,OH,Strongsville,,5065
222,,Strongsville,,5065
223,OH,Strongsville,False,4983
224,,Strongsville,False,4983
225,,Mentor,,4879
226,OH,Mentor,,4879
227,,Mentor,False,4822
228,OH,Mentor,False,4822
229,OH,Cuyahoga Falls,,4702
230,,Cuyahoga Falls,,4702
231,OH,Cuyahoga Falls,False,4620
232,,Cuyahoga Falls,False,4620
233,,Scottsdale,True,4582
234,AZ,Scottsdale,True,4582
235,OH,Parma,,4454
236,,Parma,,4454
237,AZ,Fountain Hills,,4433
238,,Fountain Hills,,4433
239,OH,Rocky River,,4322
240,,Rocky River,,4322
241,AZ,Fountain Hills,False,4285
242,,Fountain Hills,False,4285
243,,Parma,False,4277
244,OH,Parma,False,4277
245,,Rocky River,False,4259
246,OH,Rocky River,False,4259
247,PA,Monroeville,,4173
248,,Monroeville,,4173
249,QC,,True,4120
250,OH,North Olmsted,,4114
251,,North Olmsted,,4114
252,OH,North Olmsted,False,4050
253,,North Olmsted,False,4050
254,,Monroeville,False,4020
255,PA,Monroeville,False,4020
256,,Litchfield Park,,3946
257,AZ,Litchfield Park,,3946
258,,Rock Hill,,3893
259,SC,Rock Hill,,3893
260,AZ,Litchfield Park,False,3882
261,,Litchfield Park,False,3882
262,,Rock Hill,False,3755
263,SC,Rock Hill,False,3755
264,OH,Kent,,3697
265,,Kent,,3697
266,OH,Kent,False,3607
267,,Kent,False,3607
268,,Montréal,True,3548
269,QC,Montréal,True,3548
270,,Pineville,,3525
271,NC,Pineville,,3525
272,,Aurora,,3517
273,ON,Newmarket,,3460
274,,Newmarket,,3460
275,,Independence,,3436
276,OH,Beachwood,,3436
277,OH,Independence,,3436
278,,Beachwood,,3436
279,,Independence,False,3389
280,OH,Independence,False,3389
281,,Aurora,False,3387
282,,Beachwood,False,3344
283,OH,Beachwood,False,3344
284,NC,Pineville,False,3332
285,,Pineville,False,3332
286,,Oakville,,3312
287,ON,Oakville,,3312
288,,Newmarket,False,3300
289,ON,Newmarket,False,3300
290,OH,Willoughby,,3241
291,,Willoughby,,3241
292,,Oakville,False,3240
293,ON,Oakville,False,3240
294,OH,Medina,,3232
295,,Medina,,3232
296,OH,Willoughby,False,3205
297,,Willoughby,False,3205
298,,Medina,False,3193
299,OH,Medina,False,3193
300,OH,Solon,,3163
301,,Solon,,3163
302,,Tempe,True,3136
303,AZ,Tempe,True,3136
304,OH,Solon,False,3093
305,,Solon,False,3093
306,AZ,Mesa,True,3084
307,,Mesa,True,3084
308,WI,,True,3059
309,,Fitchburg,,3058
310,WI,Fitchburg,,3058
311,,Hudson,,3019
312,,Paradise Valley,,3004
313,AZ,Paradise Valley,,3004
314,,Fitchburg,False,2983
315,WI,Fitchburg,False,2983
316,,Montreal,,2970
317,QC,Montreal,,2970
318,,Hudson,False,2954
319,AZ,Paradise Valley,False,2953
320,,Paradise Valley,False,2953
321,OH,Hudson,,2933
322,,Laval,,2914
323,QC,Laval,,2914
324,,Montreal,False,2903
325,QC,Montreal,False,2903
326,ON,Pickering,,2894
327,,Pickering,,2894
328,OH,Hudson,False,2868
329,NC,Davidson,,2843
330,,Davidson,,2843
331,,Laval,False,2824
332,QC,Laval,False,2824
333,NC,Davidson,False,2817
334,,Davidson,False,2817
335,ON,Pickering,False,2808
336,,Pickering,False,2808
337,OH,Avon,,2700
338,,Avon,,2700
339,WI,Sun Prairie,,2698
340,,Sun Prairie,,2698
341,,Sun Prairie,False,2653
342,WI,Sun Prairie,False,2653
343,OH,Avon,False,2645
344,,Avon,False,2645
345,,Madison,True,2602
346,WI,Madison,True,2602
347,,Homestead,,2580
348,PA,Homestead,,2580
349,AZ,Chandler,True,2579
350,,Chandler,True,2579
351,ON,Ajax,,2548
352,,Ajax,,2548
353,PA,Homestead,False,2544
354,,Homestead,False,2544
355,,Cleveland,True,2522
356,OH,Cleveland,True,2522
357,NV,Henderson,True,2514
358,,Henderson,True,2514
359,PA,Bridgeville,,2506
360,,Bridgeville,,2506
361,,Bridgeville,False,2483
362,PA,Bridgeville,False,2483
363,,Indian Trail,,2476
364,NC,Indian Trail,,2476
365,ON,Ajax,False,2475
366,,Ajax,False,2475
367,PA,Wexford,,2463
368,,Wexford,,2463
369,OH,Woodmere,,2433
370,,Woodmere,,2433
371,,Wexford,False,2412
372,PA,Wexford,False,2412
373,NC,Belmont,,2405
374,,Belmont,,2405
375,NC,Belmont,False,2383
376,,Belmont,False,2383
377,,Woodmere,False,2373
378,OH,Woodmere,False,2373
379,,Indian Trail,False,2358
380,NC,Indian Trail,False,2358
381,,Stow,,2339
382,OH,Stow,,2339
383,OH,Chagrin Falls,,2312
384,,Chagrin Falls,,2312
385,OH,Stow,False,2288
386,,Stow,False,2288
387,OH,Chagrin Falls,False,2271
388,,Chagrin Falls,False,2271
389,ON,Whitby,,2256
390,,Whitby,,2256
391,OH,Lyndhurst,,2252
392,,Lyndhurst,,2252
393,OH,Lyndhurst,False,2201
394,,Lyndhurst,False,2201
395,ON,Whitby,False,2190
396,,Whitby,False,2190
397,ON,Aurora,,2171
398,AB,,True,2162
399,AB,Calgary,True,2123
400,,Calgary,True,2123
401,ON,Woodbridge,,2104
402,,Woodbridge,,2104
403,ON,Aurora,False,2077
404,,Coraopolis,,2022
405,PA,Coraopolis,,2022
406,,Woodbridge,False,2017
407,ON,Woodbridge,False,2017
408,,Coraopolis,False,1971
409,PA,Coraopolis,False,1971
410,OH,Berea,,1924
411,,Berea,,1924
412,,Berea,False,1868
413,OH,Berea,False,1868
414,OH,Fairlawn,,1860
415,,Fairlawn,,1860
416,OH,Fairlawn,False,1833
417,,Fairlawn,False,1833
418,,Carnegie,,1769
419,PA,Carnegie,,1769
420,,Waxhaw,,1748
421,NC,Waxhaw,,1748
422,PA,Carnegie,False,1739
423,,Carnegie,False,1739
424,,Verona,,1733
425,,Waxhaw,False,1712
426,NC,Waxhaw,False,1712
427,,Monona,,1700
428,WI,Monona,,1700
429,,Verona,False,1697
430,,Canonsburg,,1674
431,PA,Canonsburg,,1671
432,,Monona,False,1650
433,WI,Monona,False,1650
434,,Mayfield Heights,,1639
435,OH,Mayfield Heights,,1639
436,AZ,Carefree,,1629
437,,Carefree,,1629
438,ON,Unionville,,1623
439,,Unionville,,1623
440,ON,Mississauga,True,1621
441,,Mississauga,True,1621
442,,Canonsburg,False,1612
443,PA,Canonsburg,False,1609
444,,Mayfield Heights,False,1608
445,OH,Mayfield Heights,False,1608
446,,Sun City,,1589
447,AZ,Sun City,,1589
448,AZ,Carefree,False,1588
449,,Carefree,False,1588
450,ON,Unionville,False,1561
451,,Unionville,False,1561
452,,Bethel Park,,1544
453,PA,Bethel Park,,1544
454,OH,Fairview Park,,1532
455,,Fairview Park,,1532
456,,Sun City,False,1529
457,AZ,Sun City,False,1529
458,,Bethel Park,False,1511
459,PA,Bethel Park,False,1511
460,NV,Spring Valley,,1508
461,,Spring Valley,,1508
462,,Spring Valley,False,1495
463,NV,Spring Valley,False,1495
464,AZ,Tolleson,,1461
465,,Tolleson,,1461
466,OH,Fairview Park,False,1455
467,,Fairview Park,False,1455
468,OH,Brunswick,,1454
469,,Brunswick,,1454
470,QC,Brossard,,1449
471,,Brossard,,1449
472,,Avon Lake,,1433
473,OH,Avon Lake,,1433
474,,Twinsburg,,1431
475,OH,Twinsburg,,1431
476,,Markham,True,1428
477,ON,Markham,True,1428
478,OH,Elyria,,1427
479,,Elyria,,1427
480,,Brunswick,False,1422
481,OH,Brunswick,False,1422
482,,Tolleson,False,1419
483,AZ,Tolleson,False,1419
484,QC,Verdun,,1412
485,,Verdun,,1412
486,AZ,Glendale,True,1409
487,,Glendale,True,1409
488,,Elyria,False,1402
489,OH,Elyria,False,1402
490,,Twinsburg,False,1399
491,OH,Twinsburg,False,1399
492,,Brossard,False,1389
493,QC,Brossard,False,1389
494,OH,Avon Lake,False,1381
495,,Avon Lake,False,1381
496,,Verdun,False,1353
497,QC,Verdun,False,1353
498,OH,Aurora,,1346
499,OH,Aurora,False,1310
500,OH,Broadview Heights,,1308
501,,Broadview Heights,,1308
502,,Sewickley,,1307
503,PA,Sewickley,,1307
504,WI,Verona,,1304
505,PA,Sewickley,False,1297
506,,Sewickley,False,1297
507,WI,Verona,False,1292
508,,Gilbert,True,1282
509,AZ,Gilbert,True,1282
510,,Broadview Heights,False,1268
511,OH,Broadview Heights,False,1268
512,AZ,Queen Creek,,1256
513,,Queen Creek,,1256
514,,Denver,,1254
515,NC,Denver,,1254
516,NC,Harrisburg,,1252
517,,Harrisburg,,1252
518,,Queen Creek,False,1249
519,AZ,Queen Creek,False,1249
520,NC,Denver,False,1245
521,,Denver,False,1245
522,OH,North Royalton,,1236
523,,North Royalton,,1236
524,,Brooklyn,,1222
525,,North Royalton,False,1211
526,OH,North Royalton,False,1211
527,ON,Concord,,1208
528,,Middleburg Heights,,1205
529,OH,Middleburg Heights,,1205
530,,Dallas,,1203
531,OH,Brooklyn,,1201
532,,Dallas,False,1195
533,NC,Harrisburg,False,1195
534,,Harrisburg,False,1195
535,OH,Middleburg Heights,False,1194
536,,Middleburg Heights,False,1194
537,,Brooklyn,False,1184
538,OH,Painesville,,1182
539,,Painesville,,1182
540,,Streetsboro,,1179
541,OH,Streetsboro,,1179
542,OH,Brooklyn,False,1164
543,OH,Macedonia,,1159
544,,Macedonia,,1159
545,,Streetsboro,False,1155
546,OH,Streetsboro,False,1155
547,AZ,Laveen,,1154
548,,Laveen,,1154
549,,Laveen,False,1144
550,AZ,Laveen,False,1144
551,OH,Painesville,False,1127
552,,Painesville,False,1127
553,OH,Macedonia,False,1123
554,,Macedonia,False,1123
555,IL,,True,1115
556,ON,East York,,1112
557,,East York,,1112
558,ON,Concord,False,1108
559,QC,Saint-Laurent,,1079
560,,Saint-Laurent,,1079
561,,Dollard-des-Ormeaux,,1079
562,QC,Dollard-des-Ormeaux,,1079
563,,Murrysville,,1063
564,PA,Murrysville,,1063
565,ON,East York,False,1057
566,,East York,False,1057
567,QC,Dollard-des-Ormeaux,False,1047
568,,Dollard-des-Ormeaux,False,1047
569,PA,Murrysville,False,1040
570,,Murrysville,False,1040
571,,Monroe,,1026
572,NC,Monroe,,1026
573,,Saint-Laurent,False,1022
574,QC,Saint-Laurent,False,1022
575,,Amherst,,1015
576,OH,Amherst,,1015
577,TX,,,1010
578,TX,Dallas,,1010
579,,Brecksville,,1004
580,OH,Brecksville,,1004
581,TX,Dallas,False,1002
582,OH,Amherst,False,1002
583,TX,,False,1002
584,,Amherst,False,1002
585,,Monroe,False,1001
586,NC,Monroe,False,1001
587,,Brecksville,False,999
588,OH,Brecksville,False,999
589,OH,Valley View,,976
590,,Valley View,,976
591,,McMurray,,973
592,PA,McMurray,,973
593,,Valley View,False,972
594,OH,Valley View,False,972
595,,McMurray,False,962
596,PA,McMurray,False,962
597,AZ,Buckeye,,953
598,,Buckeye,,953
599,NC,Mint Hill,,944
600,,Mint Hill,,944
601,OH,Chesterland,,942
602,,Chesterland,,942
603,,Buckeye,False,930
604,AZ,Buckeye,False,930
605,,Mint Hill,False,928
606,NC,Mint Hill,False,928
607,PA,Oakmont,,923
608,,Oakmont,,923
609,OH,Chesterland,False,920
610,,Chesterland,False,920
611,,Oakmont,False,919
612,PA,Oakmont,False,919
613,IL,Champaign,True,906
614,,Champaign,True,906
615,WI,Stoughton,,884
616,,Stoughton,,884
617,,Northfield,,883
618,OH,Northfield,,883
619,AB,Airdrie,,877
620,,York,,877
621,,Airdrie,,877
622,,Richmond Hill,True,870
623,ON,Richmond Hill,True,870
624,WI,Stoughton,False,868
625,,Stoughton,False,868
626,,Northfield,False,858
627,OH,Northfield,False,858
628,ON,York,,853
629,QC,Pointe-Claire,,847
630,,Pointe-Claire,,847
631,AB,Airdrie,False,843
632,,Airdrie,False,843
633,,Ahwatukee,,837
634,AZ,Ahwatukee,,837
635,AZ,Ahwatukee,False,834
636,,Ahwatukee,False,834
637,QC,Pointe-Claire,False,830
638,,Pointe-Claire,False,830
639,,South Euclid,,829
640,OH,South Euclid,,829
641,,Indian Land,,820
642,,York,False,820
643,SC,Indian Land,,820
644,,El Mirage,,818
645,AZ,El Mirage,,818
646,,University Heights,,811
647,OH,University Heights,,811
648,,South Euclid,False,807
649,OH,South Euclid,False,807
650,OH,University Heights,False,805
651,,University Heights,False,805
652,SC,Lake Wylie,,797
653,,Lake Wylie,,797
654,ON,York,False,796
655,SC,Indian Land,False,794
656,,Indian Land,False,794
657,,Dorval,,792
658,QC,Dorval,,792
659,,Lake Wylie,False,789
660,SC,Lake Wylie,False,789
661,,Highland Heights,,784
662,OH,Highland Heights,,784
663,,Tega Cay,,781
664,SC,Tega Cay,,781
665,,Dorval,False,781
666,QC,Dorval,False,781
667,NC,Kannapolis,,778
668,,Kannapolis,,778
669,,Orange Village,,776
670,OH,Orange Village,,776
671,,El Mirage,False,773
672,AZ,El Mirage,False,773
673,OH,Euclid,,765
674,,Euclid,,765
675,SC,Tega Cay,False,756
676,,Tega Cay,False,756
677,OH,Highland Heights,False,753
678,,Highland Heights,False,753
679,OH,Euclid,False,752
680,,Euclid,False,752
681,NC,Kannapolis,False,749
682,,Kannapolis,False,749
683,PA,Allison Park,,746
684,,Allison Park,,746
685,QC,Westmount,,745
686,,Westmount,,745
687,QC,Westmount,False,738
688,,Westmount,False,738
689,,Allison Park,False,732
690,PA,Allison Park,False,732
691,,Anthem,,731
692,AZ,Anthem,,731
693,,Lorain,,730
694,OH,Lorain,,730
695,,Orange Village,False,723
696,OH,Orange Village,False,723
697,,Lorain,False,712
698,OH,Lorain,False,712
699,,West Mifflin,,710
700,PA,West Mifflin,,710
701,,West Mifflin,False,695
702,PA,West Mifflin,False,695
703,,Anthem,False,694
704,AZ,Anthem,False,694
705,,Moon Township,,692
706,PA,Moon Township,,692
707,PA,Moon Township,False,689
708,,Moon Township,False,689
709,OH,Chardon,,687
710,,Chardon,,687
711,OH,North Ridgeville,,682
712,,North Ridgeville,,682
713,,Chardon,False,678
714,OH,Chardon,False,678
715,,Olmsted Falls,,666
716,OH,Olmsted Falls,,666
717,,Summerlin,False,659
718,NV,Summerlin,,659
719,,Summerlin,,659
720,NV,Summerlin,False,659
721,,North Ridgeville,False,657
722,OH,North Ridgeville,False,657
723,,Waunakee,,653
724,WI,Waunakee,,653
725,NV,North Las Vegas,True,653
726,,North Las Vegas,True,653
727,PA,Gibsonia,,652
728,,Gibsonia,,652
729,,Olmsted Falls,False,650
730,OH,Olmsted Falls,False,650
731,WI,Waunakee,False,646
732,,Waunakee,False,646
733,,West Homestead,,645
734,PA,West Homestead,,645
735,OH,Warrensville Heights,,641
736,,Warrensville Heights,,641
737,,Gibsonia,False,640
738,PA,Gibsonia,False,640
739,,West Homestead,False,634
740,PA,West Homestead,False,634
741,,Warrensville Heights,False,632
742,OH,Warrensville Heights,False,632
743,,North York,True,629
744,ON,North York,True,629
745,NV,South Las Vegas,,620
746,,South Las Vegas,,620
747,NV,South Las Vegas,False,615
748,,South Las Vegas,False,615
749,OH,Eastlake,,610
750,,Eastlake,,610
751,,Oregon,,606
752,WI,Oregon,,606
753,AZ,Peoria,True,600
754,,Whitchurch-Stouffville,,600
755,,Peoria,True,600
756,ON,Whitchurch-Stouffville,,600
757,NC,Mount Holly,,598
758,,Mount Holly,,598
759,,Eastlake,False,594
760,OH,Eastlake,False,594
761,,Oregon,False,592
762,WI,Oregon,False,592
763,WI,Mount Horeb,,590
764,,Mount Horeb,,590
765,OH,Seven Hills,,589
766,,Seven Hills,,589
767,ON,Scarborough,True,588
768,,Whitchurch-Stouffville,False,588
769,,Scarborough,True,588
770,ON,Whitchurch-Stouffville,False,588
771,,Mount Holly,False,587
772,NC,Mount Holly,False,587
773,PA,Bellevue,,581
774,WI,Mount Horeb,False,581
775,,Mount Horeb,False,581
776,,Bellevue,,581
777,OH,Parma Heights,,579
778,,Parma Heights,,579
779,PA,Irwin,,578
780,,Irwin,,578
781,SC,Clover,,575
782,PA,New Kensington,,575
783,,New Kensington,,575
784,,Clover,,575
785,,Irwin,False,569
786,PA,Irwin,False,569
787,OH,Seven Hills,False,569
788,,Seven Hills,False,569
789,SC,Clover,False,568
790,,Clover,False,568
791,,Bellevue,False,563
792,PA,Bellevue,False,563
793,,Parma Heights,False,558
794,OH,Parma Heights,False,558
795,,New Kensington,False,554
796,PA,New Kensington,False,554
797,,McKees Rocks,,547
798,PA,McKees Rocks,,547
799,,Maple,,543
800,ON,Maple,,543
801,,Maple,False,531
802,ON,Maple,False,531
803,,McKees Rocks,False,529
804,PA,McKees Rocks,False,529
805,OH,Brook Park,,525
806,ON,Vaughan,True,525
807,,Brook Park,,525
808,,Vaughan,True,525
809,OH,Willowick,,524
810,,Willowick,,524
811,,Willowick,False,513
812,OH,Willowick,False,513
813,,Missisauga,,511
814,ON,Missisauga,,511
815,,Glenshaw,,510
816,PA,Glenshaw,,510
817,,Brook Park,False,506
818,OH,Brook Park,False,506
819,ON,Missisauga,False,501
820,,Missisauga,False,501
821,,Bedford,,499
822,,Glenshaw,False,498
823,PA,Glenshaw,False,498
824,OH,Bedford,,492
825,QC,Outremont,,492
826,,Outremont,,492
827,,Bedford,False,480
828,QC,Outremont,False,476
829,,Outremont,False,476
830,OH,Bedford,False,473
831,PA,Pleasant Hills,,459
832,,Pleasant Hills,,459
833,ON,Stouffville,,458
834,,Stouffville,,458
835,AZ,Avondale,True,456
836,,Avondale,True,456
837,PA,Pleasant Hills,False,453
838,OH,Shaker Heights,,453
839,,Shaker Heights,,453
840,,Pleasant Hills,False,453
841,,Stallings,,449
842,NC,Stallings,,449
843,,Willoughby Hills,,448
844,OH,Willoughby Hills,,448
845,,Las  Vegas,,444
846,NV,Las  Vegas,,444
847,ON,Stouffville,False,443
848,,Lasalle,,443
849,,Stouffville,False,443
850,QC,Lasalle,,443
851,OH,Richfield,,441
852,,Richfield,,441
853,NC,Matthews,True,440
854,,Matthews,True,440
855,OH,Wickliffe,,439
856,,Wickliffe,,439
857,,Lasalle,False,439
858,,Richfield,False,439
859,OH,Richfield,False,439
860,QC,Lasalle,False,439
861,OH,Willoughby Hills,False,439
862,,Willoughby Hills,False,439
863,SC,,True,437
864,,Mooresville,,435
865,,Wesley Chapel,,435
866,NC,Mooresville,,435
867,NC,Wesley Chapel,,435
868,PA,Verona,,429
869,,Wesley Chapel,False,427
870,NC,Wesley Chapel,False,427
871,NC,Stallings,False,425
872,,Shaker Heights,False,425
873,,Stallings,False,425
874,OH,Shaker Heights,False,425
875,NV,Blue Diamond,,424
876,,Blue Diamond,,424
877,,Mooresville,False,421
878,,Sun City West,,421
879,NC,Mooresville,False,421
880,AZ,Sun City West,,421
881,QC,Longueuil,,419
882,,Longueuil,,419
883,AZ,Sun City West,False,419
884,,Sun City West,False,419
885,,Concord,True,419
886,OH,Peninsula,,418
887,,Peninsula,,418
888,,Blue Diamond,False,415
889,NV,Blue Diamond,False,415
890,OH,Wickliffe,False,412
891,,Wickliffe,False,412
892,QC,Longueuil,False,411
893,,Longueuil,False,411
894,,Peninsula,False,410
895,OH,Peninsula,False,410
896,PA,Verona,False,405
897,,Tallmadge,,404
898,OH,Tallmadge,,404
899,PA,Robinson Township,,400
900,,Robinson Township,,400
901,PA,Robinson Township,False,398
902,,Robinson Township,False,398
903,,Las  Vegas,False,398
904,NV,Las  Vegas,False,398
905,OH,Bay Village,,395
906,,Bay Village,,395
907,,Tallmadge,False,391
908,OH,Tallmadge,False,391
909,,Bay Village,False,387
910,OH,Bay Village,False,387
911,IL,Savoy,,383
912,,Savoy,,383
913,ON,Brampton,True,382
914,,Brampton,True,382
915,,Cramerton,,380
916,NC,Cramerton,,380
917,NC,Cramerton,False,378
918,,Cramerton,False,378
919,,Savoy,False,375
920,IL,Savoy,False,375
921,,Mt. Lebanon,,372
922,PA,Mt. Lebanon,,372
923,,Saint-Sauveur,,371
924,QC,Saint-Sauveur,,371
925,PA,Mt. Lebanon,False,370
926,,Mt. Lebanon,False,370
927,,Saint-Sauveur,False,367
928,QC,Saint-Sauveur,False,367
929,,Pierrefonds,,363
930,QC,Pierrefonds,,363
931,,DeForest,,360
932,WI,DeForest,,360
933,,Lakewood,True,357
934,OH,Lakewood,True,357
935,,Tarentum,,355
936,PA,Tarentum,,355
937,,Mahomet,,354
938,IL,Mahomet,,354
939,,Tarentum,False,351
940,PA,Tarentum,False,351
941,QC,Lachine,,350
942,,Lachine,,350
943,WI,DeForest,False,349
944,,DeForest,False,349
945,QC,Pierrefonds,False,346
946,,Pierrefonds,False,346
947,,Mahomet,False,344
948,IL,Mahomet,False,344
949,AZ,Surprise,True,343
950,,Surprise,True,343
951,,Higley,False,342
952,AZ,Higley,False,342
953,AZ,Higley,,342
954,,Higley,,342
955,NC,Blakeney,,339
956,,Blakeney,,339
957,NC,Blakeney,False,338
958,,Blakeney,False,338
959,QC,Lachine,False,332
960,,Lachine,False,332
961,,McKeesport,,329
962,PA,McKeesport,,329
963,PA,McKeesport,False,325
964,,McKeesport,False,325
965,PA,Lower Lawrenceville,,323
966,,Lower Lawrenceville,,323
967,PA,Lower Lawrenceville,False,322
968,,Lower Lawrenceville,False,322
969,NV,N. Las Vegas,False,319
970,,N. Las Vegas,False,319
971,,N. Las Vegas,,319
972,NV,N. Las Vegas,,319
973,NC,Concord,True,318
974,OH,Tremont,,316
975,,Tremont,,316
976,OH,Moreland Hills,,313
977,,Moreland Hills,,313
978,IL,Rantoul,,312
979,,Rantoul,,312
980,,Tremont,False,311
981,OH,Tremont,False,311
982,ON,Bolton,,309
983,,Bolton,,309
984,OH,Moreland Hills,False,308
985,,Moreland Hills,False,308
986,,Upper St Clair,,307
